Time,X,Y,Pitch,Roll,Yaw
52.209,0.329,0.135,-6.048,1.974,1.644,
52.344,0.374,0.247,-5.927,1.998,1.555,
52.481,0.202,0.006,-0.027,-1.601,1.567,
52.618,0.050,-0.046,-5.655,1.828,1.618,
52.758,0.158,-0.016,-5.526,2.679,1.660,
52.914,0.270,0.059,-5.782,2.329,1.590,
53.058,0.383,0.331,-6.691,2.451,1.636,
53.225,0.273,0.064,-5.128,-0.853,1.601,
53.388,-0.260,0.058,-0.955,7.271,1.747,
53.530,-0.161,-0.050,-0.898,1.749,1.419,
53.675,0.294,0.376,3.591,5.572,1.357,
53.826,-0.076,-0.083,-0.529,7.020,1.775,
54.106,-0.096,-0.106,17.514,4.412,-0.545,
54.258,-0.387,0.465,2.579,0.577,1.832,
54.412,-0.373,0.491,-4.995,-0.384,1.611,
54.564,-0.327,0.535,1.938,4.985,1.589,
54.718,0.259,0.349,2.822,4.194,1.533,
54.868,0.276,0.265,2.834,4.571,1.502,
55.012,0.277,0.241,-2.422,-1.866,1.611,
55.162,0.275,0.193,2.543,4.790,1.279,
55.318,0.253,0.370,3.546,5.532,1.256,
55.463,0.257,0.358,3.291,4.606,1.311,
55.628,0.279,0.272,1.976,1.186,1.725,
55.773,-0.246,-0.089,0.820,-0.569,1.358,
55.916,0.299,0.034,1.394,2.532,1.512,
56.057,-0.175,0.582,-0.992,-0.129,1.752,
56.198,0.311,0.411,-3.416,-1.323,1.580,
56.341,0.318,0.080,0.491,0.565,1.726,
56.471,0.266,0.479,0.294,3.788,1.691,
56.605,0.325,0.093,1.096,3.179,1.530,
56.751,0.351,0.274,0.175,2.910,1.518,
56.893,0.332,0.361,0.645,4.304,1.459,
57.026,0.345,0.316,-0.087,-0.034,1.758,
57.172,0.262,0.482,-3.411,-1.306,1.733,
57.317,0.146,0.573,-2.095,-0.447,1.826,
57.478,0.291,0.445,-2.191,-0.405,1.795,
57.659,0.351,0.198,-1.780,-0.971,1.721,
57.834,-0.091,0.604,1.375,1.335,1.709,
57.986,0.002,-0.032,2.874,13.633,-0.012,
58.247,0.026,0.263,1.453,7.721,0.698,
58.396,0.053,0.090,-0.489,-4.313,1.691,
58.539,-0.264,0.160,0.886,0.390,1.521,
58.715,-0.245,-0.046,-2.109,-5.368,1.188,
58.869,-0.123,-0.081,2.497,-1.736,1.653,
59.016,-0.542,-0.324,-0.809,-4.851,1.155,
59.159,-0.386,-0.291,-0.582,-4.042,1.246,
59.299,-0.199,-0.543,0.027,-4.382,1.194,
59.440,0.435,-0.345,3.801,2.915,0.994,
59.575,-0.148,-0.206,2.188,1.677,1.485,
59.720,0.225,0.161,2.824,3.397,1.221,
59.997,0.204,-0.316,-0.518,-1.251,1.282,
60.143,0.082,-0.510,3.597,0.677,1.261,
60.287,0.095,-0.120,2.268,-0.053,1.611,
60.429,0.019,-0.019,0.753,9.349,2.118,
60.585,0.330,-0.504,2.413,0.864,1.446,
60.741,0.227,-0.582,2.356,0.076,1.140,
60.881,0.343,-0.261,1.505,1.309,1.448,
61.027,0.091,-0.221,1.984,2.094,1.126,
61.192,0.503,-0.279,2.870,1.243,1.385,
61.345,-0.149,-0.612,2.257,1.163,1.310,
61.510,0.422,-0.387,-0.725,1.098,1.312,
61.660,-0.092,-0.432,3.086,0.045,1.218,
61.799,0.051,-0.504,2.055,-1.972,1.280,
61.960,-0.078,-0.582,-1.363,-2.883,1.220,
62.111,-0.016,-0.644,-2.214,-3.175,1.387,
62.265,0.163,-0.207,1.365,-2.080,1.510,
62.416,-0.038,0.106,-1.131,10.838,1.752,
62.578,0.133,-0.359,0.996,-0.012,1.599,
